"I_anode, V","V_cathode, V"
-0.07,0.3
-0.07,0.59
-0.06,0.91
-0.02,1.3
2.16,1.7
28.6,2.082
44.44,2.254
53.57,2.469
54.09,2.673
53.09,2.835
51.74,3.002
51.61,3.387
49.3,3.538
47.89,3.678
44.46,4.029
43.48,4.251
42.03,4.5
40.46,4.723
39.42,4.923
38.19,5.232
36.79,5.668
36.07,6.024
35.68,6.301
35.26,6.581
35.08,6.808
35.46,7.074
35.48,7.505
36.09,7.928
38.18,8.574
39.14,8.77
40.18,9.085
40.54,9.564
41.7,9.862
45.46,10.416
51.85,10.8
53.96,10.92
